Annual Revenue,RiskRating,Limit Usage,EBITA Margin,Islisted,State,Country,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,Est. Value,Industry,Job Title,Lead Source,No. of Employees,Rating,Conversion
100000,0,73,19,1,6,1,0,0,1,0,44000,4,2,3,25,2,1
80000,1,60,16,1,6,1,0,0,0,0,1200,0,0,1,18,1,0
30000,2,24,19,0,9,1,0,0,0,0,25500,15,0,2,6,2,1
150000,2,34,19,1,1,1,1,0,0,0,64000,2,2,3,43,1,0
100000,1,35,20,0,9,1,0,0,0,0,23000,12,2,0,27,2,1
150000,1,13,17,0,7,1,1,0,0,0,64000,3,2,1,44,1,1
300000,0,51,15,1,10,2,0,0,0,0,66000,2,1,0,70,2,0
300000,2,95,18,0,7,1,0,0,0,0,66000,1,1,2,76,2,0
80000,0,88,18,0,8,0,0,0,0,0,22000,1,0,0,13,2,0
80000,1,76,20,0,4,2,0,0,0,0,25500,11,0,3,13,2,1
300000,2,15,19,0,3,0,1,0,0,0,96000,13,1,3,86,1,1
150000,2,19,20,0,2,2,0,0,0,0,51000,15,2,0,30,2,1
80000,1,86,20,1,2,2,0,0,1,0,18000,13,0,0,18,0,1
300000,1,92,20,1,2,2,0,0,0,0,3600,13,1,2,92,1,0
150000,0,53,16,0,1,1,0,0,1,0,44000,5,2,0,43,2,0
30000,1,72,20,0,7,1,0,0,1,0,1200,3,0,3,4,1,1
100000,0,91,16,0,6,1,0,0,0,0,36000,9,2,0,29,0,1
80000,2,52,16,1,2,2,0,0,0,0,18000,10,0,1,16,0,0
100000,1,75,16,1,9,1,0,0,0,0,30000,7,2,3,20,1,0
300000,0,19,18,0,1,1,0,0,0,0,34500,3,1,0,66,2,1
150000,0,75,20,0,5,1,0,0,0,0,51000,1,2,2,44,2,1
80000,2,50,18,0,4,2,0,0,0,0,2400,9,2,1,10,1,1
150000,1,22,18,1,6,1,1,0,0,0,64000,3,2,2,39,1,1
80000,2,58,19,1,13,0,0,0,0,0,18000,9,0,1,15,0,0
150000,2,69,18,1,10,2,0,0,0,0,34500,8,1,2,40,2,1
30000,1,11,18,0,6,1,0,0,0,0,25500,8,0,3,4,2,1
300000,2,20,19,0,7,1,0,0,0,0,66000,5,1,3,79,2,0
300000,2,84,18,0,3,0,0,0,0,0,76500,13,1,2,82,2,0
300000,0,90,18,0,3,0,0,0,0,0,3600,3,1,2,95,1,0
30000,0,62,19,1,7,1,0,0,0,0,18000,0,0,0,5,0,0
150000,2,86,19,0,3,0,0,0,0,0,54000,8,1,2,40,0,0
150000,2,76,17,1,1,1,0,0,1,0,23000,13,2,0,37,2,0
80000,0,41,19,0,12,0,0,1,0,0,23000,2,2,2,10,2,1
30000,1,28,16,1,12,0,1,0,0,0,32000,4,0,0,2,1,1
300000,0,80,15,1,9,1,0,0,0,0,54000,5,1,1,83,0,1
80000,0,29,17,0,7,1,0,0,0,0,18000,0,0,3,14,0,1
300000,1,61,20,1,1,1,0,1,0,0,66000,2,1,1,70,2,0
80000,2,66,17,1,10,2,1,1,0,0,32000,15,0,2,14,1,1
150000,2,69,18,0,9,1,0,0,0,0,44000,5,2,0,40,2,1
300000,1,21,20,1,8,0,0,1,0,0,66000,4,1,3,52,2,1
300000,0,18,18,1,11,2,0,0,0,0,66000,1,1,0,52,2,1
150000,1,61,17,0,8,0,0,0,0,0,44000,0,2,2,49,2,0
300000,0,67,18,0,5,1,0,0,0,0,54000,3,1,0,58,0,0
30000,0,30,19,1,8,0,0,0,0,0,25500,6,0,3,2,2,1
150000,1,52,17,1,5,1,1,0,0,0,64000,7,2,3,42,1,1
150000,0,89,20,0,12,0,0,1,0,0,66000,13,1,3,43,2,0
150000,1,77,17,0,10,2,0,1,0,0,51000,13,2,0,39,2,0
30000,0,64,18,1,3,0,0,0,0,0,1200,6,0,3,2,1,1
30000,0,11,17,0,1,1,0,0,0,0,11500,1,0,3,6,2,1
300000,0,19,16,0,11,2,1,0,0,0,96000,4,1,1,94,1,0
300000,2,41,20,1,4,2,0,0,0,0,3600,15,1,0,94,1,1
300000,2,15,19,0,12,0,0,0,0,0,54000,4,1,2,99,0,1
300000,1,47,20,0,6,1,1,0,0,0,96000,12,1,3,95,1,1
30000,0,25,17,0,8,0,0,0,0,0,11500,11,0,1,4,2,1
150000,2,85,17,1,3,0,0,0,0,0,36000,0,2,0,48,0,0
80000,0,31,20,0,9,1,0,0,0,0,22000,11,0,3,17,2,0
80000,2,65,17,0,12,0,0,0,0,0,51000,14,2,0,13,2,0
300000,0,13,18,0,11,2,1,0,1,0,96000,12,1,2,90,1,0
30000,1,56,19,0,8,0,0,0,0,0,25500,12,0,2,9,2,1
150000,1,15,17,0,2,2,1,0,0,0,64000,3,2,1,40,1,1
150000,2,44,15,1,1,1,0,0,0,0,44000,5,2,3,43,2,1
80000,2,21,20,1,8,0,0,0,0,0,11500,0,0,2,19,2,0
80000,1,21,19,1,10,2,0,0,0,0,1200,2,0,1,14,1,0
300000,2,70,20,0,2,2,0,0,0,0,34500,9,1,2,92,2,1
300000,1,31,16,1,7,1,0,0,0,0,34500,13,1,1,89,2,0
80000,1,51,16,1,11,2,0,0,0,0,51000,9,2,0,16,2,1
30000,2,38,20,1,13,0,0,1,0,0,1200,4,0,0,2,1,0
30000,2,59,18,1,8,0,0,0,0,0,25500,7,0,2,7,2,1
150000,0,82,19,0,4,2,0,0,0,0,23000,15,2,3,36,2,1
100000,0,96,16,0,6,1,0,0,0,0,36000,4,2,0,25,0,0
150000,2,51,15,0,1,1,0,0,0,0,66000,11,1,2,49,2,0
300000,1,39,17,1,6,1,0,0,0,0,76500,2,1,2,90,2,0
150000,2,94,18,0,1,1,0,0,0,0,51000,13,2,2,46,2,0
80000,1,50,19,0,5,1,0,0,0,0,1200,9,0,0,14,1,0
150000,1,28,19,0,2,2,0,0,0,0,23000,15,2,0,32,2,0
300000,1,66,20,1,8,0,0,0,0,0,66000,15,1,0,73,2,1
30000,2,45,18,1,8,0,0,0,0,0,22000,10,0,2,9,2,1
80000,0,30,20,0,11,2,0,0,0,0,2400,11,2,1,13,1,1
150000,0,72,18,0,0,2,0,1,0,0,2400,1,2,1,38,1,1
30000,0,67,15,0,4,2,0,0,0,0,1200,1,0,1,6,1,1
300000,1,69,18,0,9,1,0,0,0,0,34500,7,1,2,96,2,1
100000,0,95,15,0,3,0,0,0,0,0,23000,11,2,1,25,2,1
300000,1,80,19,1,10,2,0,0,0,0,54000,14,1,0,66,0,0
30000,0,49,18,0,11,2,0,0,0,0,25500,5,0,3,5,2,0
150000,0,40,16,0,10,2,0,0,0,0,2400,14,2,1,37,1,0
30000,1,44,19,1,2,2,0,0,0,0,1200,2,0,2,8,1,0
100000,1,43,17,1,1,1,0,0,0,0,36000,15,2,0,28,0,1
80000,0,94,16,1,3,0,0,0,0,0,11500,9,0,1,10,2,0
30000,0,28,19,0,8,0,1,0,0,0,32000,11,0,2,6,1,1
80000,2,99,15,0,0,2,0,0,0,0,36000,8,2,0,13,0,0
80000,1,27,15,0,3,0,0,0,0,0,18000,4,0,3,18,0,1
30000,0,12,17,1,0,2,0,0,0,0,11500,10,0,0,8,2,1
300000,0,61,18,0,5,1,0,0,0,0,76500,4,1,2,88,2,1
80000,2,59,17,1,5,1,0,0,0,0,36000,5,2,0,10,0,1
300000,2,44,19,0,11,2,1,0,1,0,96000,15,1,0,84,1,1
300000,0,44,16,0,5,1,0,0,0,0,76500,6,1,0,91,2,1
30000,1,30,18,1,0,2,1,0,0,0,32000,7,0,0,3,1,1
80000,1,28,19,0,11,2,0,0,0,0,11500,13,0,3,16,2,0
150000,0,95,15,0,2,2,1,0,0,0,64000,6,2,2,32,1,0
150000,0,68,20,0,3,0,0,0,0,0,51000,5,2,3,45,2,0
80000,2,64,18,0,6,1,0,0,0,0,18000,15,0,0,14,0,1
30000,0,90,15,1,13,0,0,0,0,0,1200,7,0,2,5,1,0
150000,1,35,18,1,10,2,0,0,0,0,23000,14,2,1,33,2,1
80000,2,24,16,0,13,0,0,0,0,0,1200,1,0,3,17,1,0
30000,1,20,18,0,0,2,1,0,0,0,32000,1,0,1,5,1,0
80000,0,41,16,1,5,1,1,0,0,0,32000,11,0,2,13,1,0
80000,2,73,18,0,3,0,1,0,0,0,32000,1,0,2,17,1,1
100000,0,29,17,1,7,1,0,0,0,0,23000,3,2,1,28,2,1
30000,2,100,16,0,3,0,0,0,0,0,22000,1,0,1,8,2,1
300000,2,77,15,0,5,1,0,0,0,0,3600,7,1,2,87,1,1
80000,2,43,15,1,13,0,0,0,0,0,18000,7,0,2,19,0,0
300000,1,67,20,1,10,2,0,0,0,0,34500,7,1,3,97,2,0
80000,2,87,17,0,3,0,0,0,0,0,11500,6,0,2,17,2,0
150000,0,18,16,1,1,1,0,0,0,0,2400,0,2,2,39,1,0
30000,2,48,16,0,12,0,0,0,0,0,1200,6,0,1,2,1,1
80000,1,44,20,1,4,2,1,0,0,0,32000,7,0,0,18,1,1
300000,0,79,19,0,5,1,0,0,0,0,66000,7,1,1,97,2,1
300000,0,22,16,0,13,0,0,0,0,0,76500,13,1,3,67,2,1
30000,0,65,16,0,2,2,0,0,1,0,11500,12,0,2,5,2,0
300000,1,69,20,1,4,2,0,0,0,0,66000,3,1,0,83,2,0
80000,0,17,15,0,8,0,0,0,0,0,22000,10,0,0,16,2,0
300000,2,24,15,1,4,2,0,0,0,0,54000,12,1,1,76,0,0
300000,2,51,20,1,13,0,0,1,0,0,84000,4,1,1,73,0,1
300000,1,21,17,0,10,2,0,0,0,0,3600,15,1,2,90,1,1
100000,2,85,15,0,5,1,1,0,0,0,64000,14,2,0,27,1,1
100000,2,22,16,1,11,2,0,0,1,0,44000,4,2,2,25,2,1
80000,2,30,20,1,1,1,0,0,0,0,1200,7,0,0,18,1,0
30000,1,74,19,0,3,0,0,0,0,0,25500,7,0,3,6,2,1
150000,1,92,18,0,7,1,1,0,0,0,64000,7,2,2,43,1,0
100000,1,100,15,0,5,1,0,0,0,0,23000,4,2,0,27,2,1
150000,0,73,19,1,9,1,1,0,0,0,64000,4,2,2,44,1,1
300000,2,41,17,0,1,1,0,0,0,0,66000,15,1,0,70,2,0
300000,1,26,18,1,5,1,0,0,0,0,66000,15,1,1,76,2,0
80000,1,89,18,0,3,0,0,0,0,0,22000,0,0,0,13,2,0
80000,2,61,18,1,1,1,0,0,0,0,25500,7,0,3,13,2,1
300000,0,66,15,1,4,2,1,0,0,0,96000,12,1,2,86,1,1
150000,0,52,19,0,8,0,0,0,0,0,51000,5,2,0,30,2,1
80000,2,62,16,0,1,1,0,0,1,0,18000,3,0,2,18,0,1
300000,1,77,16,0,0,2,0,0,0,0,3600,10,1,3,92,1,0
150000,0,46,16,1,10,2,0,0,1,0,44000,5,2,1,43,2,0
30000,0,27,17,0,8,0,0,0,1,0,1200,4,0,2,4,1,1
100000,1,64,15,0,8,0,0,0,0,0,36000,11,2,0,29,0,1
80000,2,55,18,0,11,2,0,0,0,0,18000,14,0,3,16,0,0
100000,0,15,18,1,5,1,0,0,0,0,30000,5,2,3,20,1,0
300000,0,72,17,0,2,2,0,0,0,0,34500,4,1,1,66,2,1
150000,2,87,20,1,8,0,0,0,0,0,51000,5,2,3,44,2,1
80000,0,15,20,0,12,0,0,0,0,0,2400,15,2,2,10,1,1
150000,1,21,18,1,7,1,1,0,0,0,64000,8,2,1,39,1,1
80000,1,34,18,0,11,2,0,0,0,0,18000,5,0,1,15,0,0
